,word,count
32658,somehow,79
32834,speakers,78
34948,total,78
25556,normally,78
32868,spend,78
32857,speed,77
16801,friday,77
11743,considering,77
33816,syncing,77
31885,sharing,77
12164,create,77
21938,kinda,77
7176,airplane,77
7833,applecare,77
29873,red,77
32982,square,77
18569,headphone,77
15465,example,77
28765,purchases,77
26510,operating,76
25599,note,76
28111,portrait,76
35948,unfortunately,76
38203,worth,76
14049,drained,76
11178,clean,76
7952,applewatch,76
20616,iphone7plus,76
8498,autocorrects,76
6745,accounts,75
17384,general,75
37537,water,75
7171,airdrop,75
31540,searching,75
24974,nah,75
15194,errors,75
16035,feedback,75
22419,las,75
30213,replacing,74
18588,heard,74
17609,given,74
22456,launch,74
8664,aye,74
16250,fire,74
32682,son,74
15833,fails,74
33590,supported,74
21861,keys,74
32845,specific,74
30736,rn,74
1,000,73
10043,btw,73
22980,locking,73
26453,onto,73
29554,rate,73
1112,17,73
11824,continues,73
7261,albums,73
33288,strange,72
18689,helped,72
30265,request,72
15944,fault,72
9618,blue,72
32702,sooo,72
23135,loyal,72
14188,dude,72
32415,slowly,72
17643,glad,71
14497,earphones,71
36252,upload,71
11011,choose,71
23398,macbookpro,71
27145,party,71
23832,means,71
28799,putting,71
8349,attached,70
7363,alone,70
16785,frequently,70
27366,percent,70
9805,bout,70
35038,track,70
22612,les,70
25163,neither,70
32703,soooo,70
33264,stores,69
29651,reading,69
32743,sos,69
16835,front,69
11924,corner,69
11663,confirm,69
18609,heating,69
16287,five,69
28782,push,69
22756,lightning,69
13110,desktop,69
23099,loud,68
17374,gen,68
20786,irritating,68
6800,across,68
24123,mid,68
11913,copy,68
11977,cost,68
14482,ear,68
1028,16,68
25208,networks,68
30005,regret,68
6886,adding,68
30133,remote,68
11808,content,68
37906,widget,68
27542,phishing,68
12938,delivery,68
15457,exact,68
37604,web,68
10170,bunch,68
22953,loads,67
13653,disturb,67
34589,thru,67
15970,fb,67
35243,true,67
19785,il,67
28732,pull,67
25100,nearly,67
33088,stand,67
19270,hung,67
16537,following,67
23040,looked,67
29984,regarding,67
37439,wall,67
31982,shocking,66
24260,missed,66
15313,está,66
22944,lo,66
25625,notice,66
17207,games,66
15889,fam,66
9389,billing,66
19279,hurry,66
33303,stream,66
30012,regular,66
18695,helping,66
23934,memory,66
37511,wassup,66
25095,near,66
27444,personal,66
32080,si,66
9817,boxed,65
15946,faulty,65
10025,bt,65
27146,pas,65
7969,applications,65
23068,los,65
18891,history,65
9103,beats,65
13509,disconnecting,65
17811,gotten,65
16172,figured,65
29717,rebooted,65
6709,accept,65
1588,2015,65
28275,predictive,65
32641,solutions,64
10752,cell,64
13347,didnt,64
7271,alert,64
15806,factor,64
28167,pour,64
32182,simple,64
16391,flash,64
15507,excuse,64
32189,simply,63
32001,short,63
15562,expected,63
16021,features,63
30376,responsive,63
7140,ai,63
9918,bricked,63
24963,nada,63
35848,unavailable,63
32805,spam,63
12934,delivered,63
15830,failing,63
31502,scroll,62
28551,progress,62
11496,compatible,62
13374,difficult,62
12165,created,62
7245,al,62
27609,pic,62
12022,course,62
26837,overnight,62
23833,meant,62
24593,movies,62
8907,bank,62
2932,3d,62
22982,locks,61
14922,enable,61
10880,character,61
6451,__email__,61
16590,forcing,61
5324,6plus,61
11858,controls,61
13790,dock,61
28390,price,61
8165,article,61
24281,mistake,61
32261,sitting,61
8614,aware,61
19829,images,60
9570,blocked,60
20026,incorrect,60
19892,imovie,60
6636,above,60
24591,movie,60
11228,closes,60
27439,persists,60
7983,appreciated,59
35684,ugly,59
37793,wheel,59
36780,versions,59
2535,318,59
15656,external,59
23497,main,59
26139,odd,59
33179,steve,59
20282,instructions,59
1224,18,59
29268,quicker,59
13982,downloads,59
25885,nuts,59
24036,method,59
30646,ringtone,59
24664,msg,59
27798,played,58
31312,saving,58
19081,hoping,58
26195,official,58
33596,suppose,58
19002,holding,58
11092,circle,58
15574,experienced,58
6095,8plus,58
33239,stolen,58
18714,helps,58
7274,alerts,58
8990,batteries,58
29469,radio,58
32413,slowing,58
600,122609,58
34890,tonight,57
20250,installation,57
26500,opens,57
18371,handle,57
24992,names,57
16227,finger,57
29974,refuses,57
32017,shot,57
26110,occurred,57
8511,automatic,57
17650,glass,57
39535,zero,57
12032,covered,57
13368,difference,57
9425,bitch,57
12586,damage,57
38110,wonder,57
24554,mostly,57
31941,shipping,57
3246,4305,57
28103,port,56
13511,disconnects,56
24015,messenger,56
15344,eu,56
39014,yea,56
16533,follow,56
6618,ability,56
33355,student,56
13477,disappears,56
9569,block,56
7937,appletv,56
24011,messaging,56
18097,guy,56
27180,passwords,56
8260,assist,56
22961,local,56
3727,4g,56
1590,2016,56
11035,chrome,56
33802,synced,55
11705,connectivity,55
9991,browser,55
12004,country,55
11519,complaint,55
25201,netflix,55
21923,kill,55
14510,easy,55
12796,decides,55
26804,overall,55
16666,four,55
20622,iphone8plus,55
21392,jour,55
27020,pain,55
28418,prior,55
32655,somebody,55
38293,writing,55
7794,appeared,55
635,123857,55
7726,apart,55
9127,becomes,55
36383,usual,55
8228,asks,55
23128,lower,54
5781,7s,54
16237,finish,54
18439,hardly,54
22798,lines,54
11197,clicking,54
24471,mom,54
20034,incredibly,54
28315,preorder,54
6821,active,54
12627,dark,54
13507,disconnect,54
35472,types,54
464,115888,54
19132,hotspot,54
17076,fyi,54
36268,ups,54
18291,hacked,54
16976,functions,54
35716,ui,54
13073,desde,54
17596,girl,53
26181,offer,53
604,122986,53
20468,ios1102,53
29721,reboots,53
17695,gmail,53
30180,repaired,53
31421,school,53
13023,depuis,53
7014,afford,53
29266,qui,53
12903,del,53
12912,delayed,53
32201,sincerely,53
32369,slide,53
28200,ppl,53
8466,authentication,53
7865,appleid,53
32038,showed,53
21350,jobs,53
33750,switches,53
35826,una,53
23568,managed,53
12099,crackling,52
23510,mais,52
15836,failure,52
10587,cards,52
12911,delay,52
31317,saw,52
31866,shame,52
16642,forward,52
9901,breaking,52
28455,problemas,52
30924,rude,52
34971,touchscreen,52
9583,bloody,52
12030,cover,52
14490,early,52
37482,warning,52
30195,repeatedly,52
38164,workout,52
11708,connects,51
34553,thoughts,51
33616,sur,51
7551,angry,51
11461,common,51
35693,uh,51
513,118101,51
23923,member,51
20002,incoming,51
21915,kidding,51
30038,reinstalled,51
33509,suggestion,51
31936,ship,51
24954,na,51
32316,skip,50
13,01,50
31546,sec,50
30647,ringtones,50
32176,similar,50
24580,mouse,50
17940,grey,50
30236,reported,50
33305,streaming,50
36327,usa,50
20818,isnt,50
35930,une,50
17190,galaxy,50
16958,fun,50
13449,directly,50
25475,nobody,50
31636,sell,50
15152,erase,50
11355,cold,50
16229,fingerprint,50
37830,whilst,49
9636,blurry,49
10940,cheers,49
7405,although,49
39245,yourself,49
28351,pressing,49
16974,functioning,49
9119,became,49
29516,ran,49
3819,4th,49
35200,trippin,49
2019,27,49
16216,finder,49
16204,final,49
12394,cuts,49
34887,tone,49
30037,reinstall,49
10493,cancelled,49
9185,behind,49
8362,attempt,48
12813,declined,48
8386,atualização,48
9128,becoming,48
33507,suggested,48
29317,qué,48
18660,hella,48
30062,related,48
6910,adjust,48
30642,ringer,48
27688,piss,48
22025,knew,48
35804,umm,48
37972,wiped,48
30438,result,48
15153,erased,48
508,117735,48
16104,ffs,48
13508,disconnected,48
35256,trust,48
31504,scrolling,48
5829,800,48
37440,wallet,48
